Titre;Titre VO;Réalisateur;Date de sortie;Pays
Le Seigneur des anneaux - Le Retour du Roi;The Lord of the Rings: The Return of the King;Peter Jackson;01/12/2003;Etats-Unis
Le Seigneur des anneaux - Les Deux Tours;The Lord of the Rings: The Two Towers;Peter Jackson;05/12/2002;Etats-Unis
Le Silence des Agneaux;The Silence of the Lambs;Jonathan Demme;29/01/1991;Etats-Unis
Le Tombeau des lucioles;Hotaru no haka;Isao Takahata;19/06/1996;Japon
Le Tout Nouveau Testament;Le Tout Nouveau Testament;Jaco Van Dormael;01/09/2015;Belgique
Le Viager;Le Viager;Pierre Tchernia;;France
Le Voyage de Chihiro;Sen to Chihiro no kamikakushi;Hayao Miyazaki;20/07/2001;Japon
Léo, roi de la jungle;Gekijoban Janguru Taitei;Yoshio Takeuchi;01/08/1997;Japon
Les Amours imaginaires;Les Amours imaginaires;Xavier Dolan;28/09/2010;Canada
Les Animaux fantastiques;Fantastic Beasts and Where to Find Them;David Yates;16/11/2016;Etats-Unis
Les Chansons d'amour;Les Chansons d'amour;Christophe Honore;22/05/2007;France
Les Dissociés;Les Dissociés;Raphaël Descraques;24/11/2015;France
Les Enfants Loups Ame et Yuki;Okami kodomo no Ame to Yuki;Mamoru Hosoda;21/07/2012;Japon
Les figures de l'ombre;Hidden Figures;Theodore Melfi;13/01/2017;Etats-Unis
Les Huit Salopards;The Hateful Eight;Quentin Tarantino;05/01/2016;Etats-Unis
Les Invisibles;Les Invisibles;Louis-Julien Petit;09/01/2019;France
Les Noces funèbres;Corpse Bride;Tim Burton;23/09/2005;Etats-Unis
Les Vieux Fourneaux;Les Vieux Fourneaux;Christophe Duthuron;22/08/2018;France
Little Miss Sunshine;Little Miss Sunshine;Jonathan Dayton;18/08/2006;Etats-Unis
Logan;Logan;James Mangold;01/03/2017;Etats-Unis
Lou!;Lou!;Julien Neel;23/08/2014;France
M3gan;M3gan;Gerard Johnstone;06/01/2023;Etats-Unis
Mad Max: Fury Road;Mad Max: Fury Road;George Miller;13/05/2015;Etats-Unis
Mademoiselle;Agassi;Park Chan-wook;02/11/2016;Corée
Malefique;Maleficent;Robert Stromberg;29/05/2014;Etats-Unis
Marie-Antoinette;Marie-Antoinette;Sofia Coppola;23/05/2006;Etats-Unis
Matrix;The Matrix;The Wachowski;22/06/1999;Etats-Unis
Matrix Reloaded;The Matrix Reloaded;The Wachowski;06/05/2003;Etats-Unis
Matrix Revolutions;The Matrix Revolutions;The Wachowski;26/10/2003;Etats-Unis
